time,y,x,band,spatial_ref,Corn2_prepped_inputs_landsat_catd
2022-06-04,4218240.0,628740.0,1.0,0.0,NA
2022-06-04,4218270.0,628590.0,1.0,0.0,NA
2022-06-04,4218300.0,628620.0,1.0,0.0,NA
2022-06-04,4218870.0,628620.0,1.0,0.0,NA
2022-06-04,4218960.0,628740.0,1.0,0.0,NA
2022-06-04,4218630.0,628740.0,1.0,0.0,NA
2022-06-04,4218240.0,628560.0,1.0,0.0,NA
2022-06-04,4218960.0,628500.0,1.0,0.0,NA
2022-06-04,4218960.0,628680.0,1.0,0.0,NA
2022-06-04,4218270.0,628740.0,1.0,0.0,NA
2022-06-04,4218930.0,628680.0,1.0,0.0,NA
2022-06-04,4218270.0,628560.0,1.0,0.0,NA
2022-06-04,4218870.0,628770.0,1.0,0.0,NA
2022-06-04,4218360.0,628470.0,1.0,0.0,NA
2022-06-04,4218690.0,628470.0,1.0,0.0,NA
2022-06-04,4218960.0,628560.0,1.0,0.0,NA
2022-06-04,4218930.0,628650.0,1.0,0.0,NA
2022-06-04,4218840.0,628620.0,1.0,0.0,NA
2022-06-04,4218330.0,628620.0,1.0,0.0,NA
2022-06-04,4218240.0,628680.0,1.0,0.0,NA
2022-06-04,4218480.0,628710.0,1.0,0.0,NA
2022-06-04,4218930.0,628530.0,1.0,0.0,NA
2022-06-04,4218240.0,628770.0,1.0,0.0,NA
2022-06-04,4218300.0,628500.0,1.0,0.0,NA
2022-06-04,4218840.0,628770.0,1.0,0.0,NA
2022-06-04,4218900.0,628500.0,1.0,0.0,NA
2022-06-04,4218330.0,628740.0,1.0,0.0,NA
2022-06-04,4218930.0,628710.0,1.0,0.0,NA
2022-06-04,4218390.0,628470.0,1.0,0.0,NA
2022-06-04,4218840.0,628680.0,1.0,0.0,NA
2022-06-04,4218360.0,628560.0,1.0,0.0,NA
2022-06-04,4218840.0,628650.0,1.0,0.0,NA
2022-06-04,4218360.0,628590.0,1.0,0.0,NA
2022-06-04,4218600.0,628740.0,1.0,0.0,NA
2022-06-04,4218300.0,628530.0,1.0,0.0,NA
2022-06-04,4218870.0,628530.0,1.0,0.0,NA
2022-06-04,4218810.0,628650.0,1.0,0.0,NA
2022-06-04,4218330.0,628710.0,1.0,0.0,NA
2022-06-04,4218390.0,628590.0,1.0,0.0,NA
2022-06-04,4218780.0,628620.0,1.0,0.0,NA
2022-06-04,4218300.0,628680.0,1.0,0.0,NA
2022-06-04,4218270.0,628710.0,1.0,0.0,NA
2022-06-04,4218900.0,628560.0,1.0,0.0,NA
2022-06-04,4218900.0,628530.0,1.0,0.0,NA
2022-06-04,4218960.0,628710.0,1.0,0.0,NA
2022-06-04,4218870.0,628650.0,1.0,0.0,NA
2022-06-04,4218300.0,628740.0,1.0,0.0,NA
2022-06-04,4218270.0,628530.0,1.0,0.0,NA
2022-06-04,4218330.0,628590.0,1.0,0.0,NA
2022-06-04,4218930.0,628560.0,1.0,0.0,NA
2022-06-04,4218270.0,628680.0,1.0,0.0,NA
2022-06-04,4218240.0,628620.0,1.0,0.0,NA
2022-06-04,4218930.0,628620.0,1.0,0.0,NA
2022-06-04,4218660.0,628470.0,1.0,0.0,NA
2022-06-04,4218330.0,628470.0,1.0,0.0,NA
2022-06-04,4218930.0,628740.0,1.0,0.0,NA
2022-06-04,4218870.0,628680.0,1.0,0.0,NA
2022-06-04,4218330.0,628560.0,1.0,0.0,NA
2022-06-04,4218900.0,628770.0,1.0,0.0,NA
2022-06-04,4218570.0,628770.0,1.0,0.0,NA
2022-06-04,4218660.0,628740.0,1.0,0.0,NA
2022-06-04,4218300.0,628710.0,1.0,0.0,NA
2022-06-04,4218690.0,628620.0,1.0,0.0,NA
2022-06-04,4218390.0,628680.0,1.0,0.0,NA
2022-06-04,4218840.0,628590.0,1.0,0.0,NA
2022-06-04,4218480.0,628620.0,1.0,0.0,NA
2022-06-04,4218540.0,628740.0,1.0,0.0,NA
2022-06-04,4218630.0,628530.0,1.0,0.0,NA
2022-06-04,4218720.0,628710.0,1.0,0.0,NA
2022-06-04,4218750.0,628500.0,1.0,0.0,NA
2022-06-04,4218480.0,628740.0,1.0,0.0,NA
2022-06-04,4218480.0,628530.0,1.0,0.0,NA
2022-06-04,4218570.0,628710.0,1.0,0.0,NA
2022-06-04,4218630.0,628680.0,1.0,0.0,NA
2022-06-04,4218750.0,628740.0,1.0,0.0,NA
2022-06-04,4218630.0,628620.0,1.0,0.0,NA
2022-06-04,4218540.0,628620.0,1.0,0.0,NA
2022-06-04,4218630.0,628590.0,1.0,0.0,NA
2022-06-04,4218570.0,628560.0,1.0,0.0,NA
2022-06-04,4218420.0,628500.0,1.0,0.0,NA
2022-06-04,4218510.0,628680.0,1.0,0.0,NA
2022-06-04,4218750.0,628770.0,1.0,0.0,NA
2022-06-04,4218690.0,628560.0,1.0,0.0,NA
2022-06-04,4218780.0,628590.0,1.0,0.0,NA
2022-06-04,4218360.0,628650.0,1.0,0.0,NA
2022-06-04,4218960.0,628770.0,1.0,0.0,NA
2022-06-04,4218330.0,628770.0,1.0,0.0,NA
2022-06-04,4218600.0,628650.0,1.0,0.0,NA
2022-06-04,4218660.0,628530.0,1.0,0.0,NA
2022-06-04,4218540.0,628710.0,1.0,0.0,NA
2022-06-04,4218600.0,628590.0,1.0,0.0,NA
2022-06-04,4218720.0,628560.0,1.0,0.0,NA
2022-06-04,4218480.0,628680.0,1.0,0.0,NA
2022-06-04,4218480.0,628500.0,1.0,0.0,NA
2022-06-04,4218540.0,628470.0,1.0,0.0,NA
2022-06-04,4218570.0,628650.0,1.0,0.0,NA
2022-06-04,4218660.0,628680.0,1.0,0.0,NA
2022-06-04,4218540.0,628560.0,1.0,0.0,NA
2022-06-04,4218810.0,628740.0,1.0,0.0,NA
2022-06-04,4218390.0,628650.0,1.0,0.0,NA
2022-06-04,4218270.0,628470.0,1.0,0.0,NA
2022-06-04,4218540.0,628650.0,1.0,0.0,NA
2022-06-04,4218390.0,628770.0,1.0,0.0,NA
2022-06-04,4218360.0,628770.0,1.0,0.0,NA
2022-06-04,4218480.0,628650.0,1.0,0.0,NA
2022-06-04,4218690.0,628590.0,1.0,0.0,NA
2022-06-04,4218600.0,628680.0,1.0,0.0,NA
2022-06-04,4218600.0,628560.0,1.0,0.0,NA
2022-06-04,4218510.0,628740.0,1.0,0.0,NA
2022-06-04,4218720.0,628770.0,1.0,0.0,NA
2022-06-04,4218720.0,628590.0,1.0,0.0,NA
2022-06-04,4218450.0,628650.0,1.0,0.0,NA
2022-06-04,4218630.0,628560.0,1.0,0.0,NA
2022-06-04,4218570.0,628680.0,1.0,0.0,NA
2022-06-04,4218780.0,628740.0,1.0,0.0,NA
2022-06-04,4218450.0,628500.0,1.0,0.0,NA
2022-06-04,4218540.0,628530.0,1.0,0.0,NA
2022-06-04,4218660.0,628710.0,1.0,0.0,NA
2022-06-04,4218510.0,628470.0,1.0,0.0,NA
2022-06-04,4218600.0,628530.0,1.0,0.0,NA
2022-06-04,4218870.0,628470.0,1.0,0.0,NA
2022-06-04,4218570.0,628530.0,1.0,0.0,NA
2022-06-04,4218480.0,628470.0,1.0,0.0,NA
2022-06-04,4218600.0,628710.0,1.0,0.0,NA
2022-06-04,4218660.0,628560.0,1.0,0.0,NA
2022-06-04,4218540.0,628680.0,1.0,0.0,NA
2022-06-04,4218510.0,628650.0,1.0,0.0,NA
2022-06-04,4218660.0,628590.0,1.0,0.0,NA
2022-06-04,4218840.0,628470.0,1.0,0.0,NA
2022-06-04,4218720.0,628500.0,1.0,0.0,NA
2022-06-04,4218690.0,628500.0,1.0,0.0,NA
2022-06-04,4218690.0,628710.0,1.0,0.0,NA
2022-06-04,4218510.0,628530.0,1.0,0.0,NA
2022-06-04,4218750.0,628590.0,1.0,0.0,NA
2022-06-04,4218420.0,628650.0,1.0,0.0,NA
2022-06-04,4218600.0,628620.0,1.0,0.0,NA
2022-06-04,4218570.0,628620.0,1.0,0.0,NA
2022-06-04,4218630.0,628710.0,1.0,0.0,NA
2022-06-04,4218810.0,628590.0,1.0,0.0,NA
2022-06-04,4218690.0,628770.0,1.0,0.0,NA
2022-06-04,4218240.0,628590.0,1.0,0.0,NA
2022-06-04,4218690.0,628530.0,1.0,0.0,NA
2022-06-04,4218660.0,628620.0,1.0,0.0,NA
2022-06-04,4218570.0,628590.0,1.0,0.0,NA
2022-06-04,4218540.0,628590.0,1.0,0.0,NA
2022-06-04,4218510.0,628710.0,1.0,0.0,NA
2022-06-04,4218390.0,628500.0,1.0,0.0,NA
2022-06-04,4218900.0,628470.0,1.0,0.0,NA
2022-06-04,4218780.0,628500.0,1.0,0.0,NA
2022-06-04,4218510.0,628560.0,1.0,0.0,NA
2022-06-04,4218690.0,628680.0,1.0,0.0,NA
2022-06-04,4218570.0,628470.0,1.0,0.0,NA
2022-06-04,4218780.0,628710.0,1.0,0.0,NA
2022-06-04,4218660.0,628500.0,1.0,0.0,NA
2022-06-04,4218450.0,628680.0,1.0,0.0,NA
2022-06-04,4218750.0,628560.0,1.0,0.0,NA
2022-06-04,4218630.0,628650.0,1.0,0.0,NA
2022-06-04,4218720.0,628740.0,1.0,0.0,NA
2022-06-04,4218450.0,628740.0,1.0,0.0,NA
2022-06-04,4218780.0,628770.0,1.0,0.0,NA
2022-06-04,4218510.0,628620.0,1.0,0.0,NA
2022-06-04,4218480.0,628560.0,1.0,0.0,NA
2022-06-04,4218420.0,628530.0,1.0,0.0,NA
2022-06-04,4218330.0,628650.0,1.0,0.0,NA
2022-06-04,4218420.0,628770.0,1.0,0.0,NA
2022-06-04,4218450.0,628470.0,1.0,0.0,NA
2022-06-04,4218840.0,628740.0,1.0,0.0,NA
2022-06-04,4218810.0,628470.0,1.0,0.0,NA
2022-06-04,4218750.0,628710.0,1.0,0.0,NA
2022-06-04,4218450.0,628530.0,1.0,0.0,NA
2022-06-04,4218720.0,628680.0,1.0,0.0,NA
2022-06-04,4218660.0,628770.0,1.0,0.0,NA
2022-06-05,4218900.0,628620.0,1.0,0.0,NA
2022-06-05,4218240.0,628620.0,1.0,0.0,NA
2022-06-05,4218360.0,628500.0,1.0,0.0,NA
2022-06-05,4218270.0,628620.0,1.0,0.0,NA
2022-06-05,4218420.0,628650.0,1.0,0.0,NA
2022-06-05,4218300.0,628590.0,1.0,0.0,NA
2022-06-05,4218570.0,628530.0,1.0,0.0,NA
2022-06-05,4218450.0,628710.0,1.0,0.0,NA
2022-06-05,4218660.0,628710.0,1.0,0.0,NA
2022-06-05,4218660.0,628770.0,1.0,0.0,NA
2022-06-05,4218930.0,628530.0,1.0,0.0,NA
2022-06-05,4218660.0,628590.0,1.0,0.0,NA
2022-06-05,4218570.0,628500.0,1.0,0.0,NA
2022-06-05,4218330.0,628590.0,1.0,0.0,NA
2022-06-05,4218750.0,628590.0,1.0,0.0,NA
2022-06-05,4218600.0,628710.0,1.0,0.0,NA
2022-06-05,4218300.0,628650.0,1.0,0.0,NA
2022-06-05,4218780.0,628770.0,1.0,0.0,NA
2022-06-05,4218270.0,628530.0,1.0,0.0,NA
2022-06-05,4218270.0,628710.0,1.0,0.0,NA
2022-06-05,4218840.0,628740.0,1.0,0.0,NA
2022-06-05,4218960.0,628710.0,1.0,0.0,NA
2022-06-05,4218870.0,628590.0,1.0,0.0,NA
2022-06-05,4218690.0,628710.0,1.0,0.0,NA
2022-06-05,4218870.0,628650.0,1.0,0.0,NA
2022-06-05,4218690.0,628650.0,1.0,0.0,NA
2022-06-05,4218510.0,628650.0,1.0,0.0,NA
2022-06-05,4218960.0,628530.0,1.0,0.0,NA
2022-06-05,4218570.0,628470.0,1.0,0.0,NA
2022-06-05,4218780.0,628740.0,1.0,0.0,NA
2022-06-05,4218690.0,628470.0,1.0,0.0,NA
2022-06-05,4218870.0,628620.0,1.0,0.0,NA
2022-06-05,4218720.0,628590.0,1.0,0.0,NA
2022-06-05,4218660.0,628650.0,1.0,0.0,NA
2022-06-05,4218870.0,628770.0,1.0,0.0,NA
2022-06-05,4218960.0,628680.0,1.0,0.0,NA
2022-06-05,4218450.0,628650.0,1.0,0.0,NA
2022-06-05,4218720.0,628530.0,1.0,0.0,NA
2022-06-05,4218330.0,628650.0,1.0,0.0,NA
2022-06-05,4218240.0,628560.0,1.0,0.0,NA
2022-06-05,4218540.0,628530.0,1.0,0.0,NA
2022-06-05,4218960.0,628740.0,1.0,0.0,NA
2022-06-05,4218480.0,628710.0,1.0,0.0,NA
2022-06-05,4218840.0,628590.0,1.0,0.0,NA
2022-06-05,4218300.0,628620.0,1.0,0.0,NA
2022-06-05,4218240.0,628590.0,1.0,0.0,NA
2022-06-05,4218360.0,628470.0,1.0,0.0,NA
2022-06-05,4218450.0,628500.0,1.0,0.0,NA
2022-06-05,4218720.0,628770.0,1.0,0.0,NA
2022-06-05,4218930.0,628650.0,1.0,0.0,NA
2022-06-05,4218240.0,628710.0,1.0,0.0,NA
2022-06-05,4218630.0,628710.0,1.0,0.0,NA
2022-06-05,4218510.0,628530.0,1.0,0.0,NA
2022-06-05,4218510.0,628470.0,1.0,0.0,NA
2022-06-05,4218930.0,628620.0,1.0,0.0,NA
2022-06-05,4218270.0,628500.0,1.0,0.0,NA
2022-06-05,4218240.0,628530.0,1.0,0.0,NA
2022-06-05,4218390.0,628530.0,1.0,0.0,NA
2022-06-05,4218510.0,628500.0,1.0,0.0,NA
2022-06-05,4218480.0,628650.0,1.0,0.0,NA
2022-06-05,4218540.0,628770.0,1.0,0.0,NA
2022-06-05,4218780.0,628710.0,1.0,0.0,NA
2022-06-05,4218240.0,628740.0,1.0,0.0,NA
2022-06-05,4218690.0,628590.0,1.0,0.0,NA
2022-06-05,4218270.0,628590.0,1.0,0.0,NA
2022-06-05,4218510.0,628590.0,1.0,0.0,NA
2022-06-05,4218540.0,628590.0,1.0,0.0,NA
2022-06-05,4218810.0,628710.0,1.0,0.0,NA
2022-06-05,4218720.0,628740.0,1.0,0.0,NA
2022-06-05,4218660.0,628470.0,1.0,0.0,NA
2022-06-05,4218570.0,628590.0,1.0,0.0,NA
2022-06-05,4218930.0,628740.0,1.0,0.0,NA
2022-06-05,4218930.0,628590.0,1.0,0.0,NA
2022-06-05,4218600.0,628770.0,1.0,0.0,NA
2022-06-05,4218480.0,628500.0,1.0,0.0,NA
2022-06-05,4218540.0,628470.0,1.0,0.0,NA
2022-06-05,4218780.0,628530.0,1.0,0.0,NA
2022-06-05,4218330.0,628530.0,1.0,0.0,NA
2022-06-05,4218570.0,628650.0,1.0,0.0,NA
2022-06-05,4218780.0,628650.0,1.0,0.0,NA
2022-06-05,4218390.0,628500.0,1.0,0.0,NA
2022-06-05,4218840.0,628530.0,1.0,0.0,NA
2022-06-05,4218540.0,628500.0,1.0,0.0,NA
2022-06-05,4218810.0,628740.0,1.0,0.0,NA
2022-06-05,4218630.0,628470.0,1.0,0.0,NA
2022-06-05,4218780.0,628590.0,1.0,0.0,NA
2022-06-05,4218420.0,628710.0,1.0,0.0,NA
2022-06-05,4218390.0,628650.0,1.0,0.0,NA
2022-06-05,4218900.0,628710.0,1.0,0.0,NA
2022-06-05,4218420.0,628470.0,1.0,0.0,NA
2022-06-05,4218900.0,628740.0,1.0,0.0,NA
2022-06-05,4218600.0,628590.0,1.0,0.0,NA
2022-06-05,4218540.0,628710.0,1.0,0.0,NA
2022-06-05,4218390.0,628710.0,1.0,0.0,NA
2022-06-05,4218810.0,628590.0,1.0,0.0,NA
2022-06-05,4218810.0,628530.0,1.0,0.0,NA
2022-06-05,4218450.0,628590.0,1.0,0.0,NA
2022-06-05,4218750.0,628650.0,1.0,0.0,NA
2022-06-05,4218810.0,628770.0,1.0,0.0,NA
2022-06-05,4218690.0,628740.0,1.0,0.0,NA
2022-06-05,4218360.0,628650.0,1.0,0.0,NA
2022-06-05,4218600.0,628650.0,1.0,0.0,NA
2022-06-05,4218870.0,628710.0,1.0,0.0,NA
2022-06-05,4218420.0,628590.0,1.0,0.0,NA
2022-06-05,4218750.0,628710.0,1.0,0.0,NA
2022-06-05,4218330.0,628500.0,1.0,0.0,NA
2022-06-05,4218660.0,628530.0,1.0,0.0,NA
2022-06-05,4218720.0,628650.0,1.0,0.0,NA
2022-06-05,4218900.0,628590.0,1.0,0.0,NA
2022-06-05,4218360.0,628710.0,1.0,0.0,NA
2022-06-05,4218240.0,628650.0,1.0,0.0,NA
2022-06-05,4218480.0,628470.0,1.0,0.0,NA
2022-06-05,4218960.0,628620.0,1.0,0.0,NA
2022-06-05,4218600.0,628470.0,1.0,0.0,NA
2022-06-05,4218840.0,628710.0,1.0,0.0,NA
2022-06-05,4218540.0,628650.0,1.0,0.0,NA
2022-06-05,4218840.0,628770.0,1.0,0.0,NA
2022-06-05,4218300.0,628500.0,1.0,0.0,NA
2022-06-05,4218690.0,628530.0,1.0,0.0,NA
2022-06-05,4218480.0,628590.0,1.0,0.0,NA
2022-06-05,4218630.0,628590.0,1.0,0.0,NA
2022-06-05,4218300.0,628710.0,1.0,0.0,NA
2022-06-05,4218750.0,628770.0,1.0,0.0,NA
2022-06-05,4218900.0,628530.0,1.0,0.0,NA
2022-06-05,4218570.0,628770.0,1.0,0.0,NA
2022-06-05,4218450.0,628530.0,1.0,0.0,NA
2022-06-05,4218630.0,628770.0,1.0,0.0,NA
2022-06-05,4218420.0,628500.0,1.0,0.0,NA
2022-06-05,4218450.0,628470.0,1.0,0.0,NA
2022-06-05,4218600.0,628530.0,1.0,0.0,NA
2022-06-05,4218750.0,628530.0,1.0,0.0,NA
2022-06-05,4218930.0,628710.0,1.0,0.0,NA
2022-06-05,4218360.0,628530.0,1.0,0.0,NA
2022-06-05,4218750.0,628740.0,1.0,0.0,NA
2022-06-05,4218840.0,628650.0,1.0,0.0,NA
2022-06-05,4218630.0,628530.0,1.0,0.0,NA
2022-06-05,4218960.0,628590.0,1.0,0.0,NA
2022-06-05,4218390.0,628590.0,1.0,0.0,NA
2022-06-05,4218690.0,628770.0,1.0,0.0,NA
2022-06-05,4218330.0,628710.0,1.0,0.0,NA
2022-06-05,4218720.0,628710.0,1.0,0.0,NA
2022-06-05,4218270.0,628650.0,1.0,0.0,NA
2022-06-05,4218810.0,628650.0,1.0,0.0,NA
2022-06-05,4218630.0,628650.0,1.0,0.0,NA
2022-06-05,4218870.0,628530.0,1.0,0.0,NA
2022-06-05,4218300.0,628530.0,1.0,0.0,NA
2022-06-05,4218510.0,628710.0,1.0,0.0,NA
2022-06-05,4218360.0,628590.0,1.0,0.0,NA
2022-06-05,4218420.0,628530.0,1.0,0.0,NA
2022-06-05,4218480.0,628530.0,1.0,0.0,NA
2022-06-05,4218870.0,628740.0,1.0,0.0,NA
2022-06-05,4218570.0,628710.0,1.0,0.0,NA
2022-06-05,4218390.0,628470.0,1.0,0.0,NA
2022-06-05,4218660.0,628740.0,1.0,0.0,NA
2022-06-05,4218900.0,628650.0,1.0,0.0,NA
2022-06-05,4218960.0,628770.0,1.0,0.0,NA
2022-06-05,4218330.0,628560.0,1.0,0.0,NA
2022-06-05,4218900.0,628770.0,1.0,0.0,NA
2022-06-05,4218870.0,628680.0,1.0,0.0,NA
2022-06-05,4218330.0,628470.0,1.0,0.0,NA
2022-06-05,4218480.0,628680.0,1.0,0.0,NA
2022-06-05,4218660.0,628680.0,1.0,0.0,NA
2022-06-05,4218540.0,628560.0,1.0,0.0,NA
2022-06-05,4218420.0,628680.0,1.0,0.0,NA
2022-06-05,4218270.0,628680.0,1.0,0.0,NA
2022-06-05,4218750.0,628620.0,1.0,0.0,NA
2022-06-05,4218690.0,628560.0,1.0,0.0,NA
2022-06-05,4218420.0,628620.0,1.0,0.0,NA
2022-06-05,4218510.0,628680.0,1.0,0.0,NA
2022-06-05,4218930.0,628560.0,1.0,0.0,NA
2022-06-05,4218420.0,628740.0,1.0,0.0,NA
2022-06-05,4218540.0,628740.0,1.0,0.0,NA
2022-06-05,4218810.0,628680.0,1.0,0.0,NA
2022-06-05,4218570.0,628740.0,1.0,0.0,NA
2022-06-05,4218570.0,628560.0,1.0,0.0,NA
2022-06-05,4218630.0,628500.0,1.0,0.0,NA
2022-06-05,4218540.0,628620.0,1.0,0.0,NA
2022-06-05,4218810.0,628620.0,1.0,0.0,NA
2022-06-05,4218360.0,628620.0,1.0,0.0,NA
2022-06-05,4218330.0,628680.0,1.0,0.0,NA
2022-06-05,4218630.0,628620.0,1.0,0.0,NA
2022-06-05,4218630.0,628680.0,1.0,0.0,NA
2022-06-05,4218240.0,628770.0,1.0,0.0,NA
2022-06-05,4218390.0,628560.0,1.0,0.0,NA
2022-06-05,4218750.0,628500.0,1.0,0.0,NA
2022-06-05,4218300.0,628740.0,1.0,0.0,NA
2022-06-05,4218810.0,628500.0,1.0,0.0,NA
2022-06-05,4218390.0,628620.0,1.0,0.0,NA
2022-06-05,4218720.0,628560.0,1.0,0.0,NA
2022-06-05,4218690.0,628620.0,1.0,0.0,NA
2022-06-05,4218360.0,628740.0,1.0,0.0,NA
2022-06-05,4218870.0,628560.0,1.0,0.0,NA
2022-06-05,4218510.0,628560.0,1.0,0.0,NA
2022-06-05,4218360.0,628560.0,1.0,0.0,NA
2022-06-05,4218750.0,628560.0,1.0,0.0,NA
2022-06-05,4218510.0,628620.0,1.0,0.0,NA
2022-06-05,4218660.0,628620.0,1.0,0.0,NA
2022-06-05,4218750.0,628470.0,1.0,0.0,NA
2022-06-05,4218660.0,628500.0,1.0,0.0,NA
2022-06-05,4218900.0,628470.0,1.0,0.0,NA
2022-06-05,4218450.0,628680.0,1.0,0.0,NA
2022-06-05,4218960.0,628470.0,1.0,0.0,NA
2022-06-05,4218420.0,628770.0,1.0,0.0,NA
2022-06-05,4218480.0,628770.0,1.0,0.0,NA
2022-06-05,4218780.0,628620.0,1.0,0.0,NA
